SA,DATE,Burn_date,PLOT,PLOT,PLOT,#VP,LAI,SEL,CONF,NOTES,Burn,Fuels,Planting
S,19960917,,3,A,8,,2.21,0.09,,,,,
S,19970922,,3,A,8,,1.34,0.27,,,,,
S,19960917,,3,A,9,,2.91,0.18,,,,,
S,19970922,,3,A,9,,1.46,0.39,,,,,
S,19960917,,3,A,10,,3.02,0.5,,,,,
S,19970922,,3,A,10,,2.23,0.19,,,,,
S,19970922,,4,A,1,,0.07,0.06,,,,,
S,19970922,,4,A,2,,0.09,0.08,,,,,
S,19970922,,4,A,3,,0.03,0.02,,,,,
S,19970922,,4,A,4,,0.06,0.02,,,,,
S,19970922,,4,A,5,,0.02,0,,,,,
S,19970922,,4,A,6,,0.25,0.18,,,,,
S,19970922,,4,A,7,,0.22,0.16,,,,,
S,19970922,,4,A,8,,0.21,0.19,,,,,
S,19970922,,4,A,9,,0.05,0.03,,,,,
S,19970922,,4,A,10,,0.02,0,,,,,
,,,,,,,,,,,,,
